encountered_week,residence_census_tract,pathogen,modeled_intensity_mean,modeled_intensity_sd,modeled_intensity_lower_95_CI,modeled_intensity_median,modeled_intensity_upper_95_CI,modeled_intensity_mode
2019-W10,53033010402,h3n2,0.00402344686233745,0.0200131810830062,2.30448879461951e-05,0.000793006397392351,0.0272106357489259,0.000793047469436265
2019-W11,53033010402,h3n2,0.00629289491907195,0.0251802860237278,5.59910281333946e-05,0.00152575451220171,0.0414660740988272,0.00152582799565995
2019-W12,53033010402,h3n2,0.00840614355551002,0.0275313256402834,0.000112763922453145,0.00245477339162619,0.0533056648435604,0.00245488356985549
2019-W13,53033010402,h3n2,0.0099956366430168,0.0272424871990344,0.000195922096072887,0.00344308616052272,0.0603681715209383,0.00344323011317607
2019-W14,53033010402,h3n2,0.0113932339333462,0.0262617345029497,0.00031557198234142,0.00453444003762706,0.06501526142981,0.00453461569037826
2019-W15,53033010402,h3n2,0.0122402498419999,0.0242590700823885,0.000461993259817823,0.00551386877137288,0.0656763211048349,0.00551406693253158
2019-W16,53033010402,h3n2,0.0126805035256265,0.0219927942030434,0.000626636257968747,0.00633386632978972,0.0639016701486967,0.00633407817412412
2019-W17,53033010402,h3n2,0.0132190478658489,0.0204610889950917,0.000818380950777905,0.00717342897706088,0.0627679799320498,0.00717365315470219
2019-W18,53033010402,h3n2,0.0137872407633864,0.0194770985707375,0.00101884028500653,0.00796578689360066,0.0621772505578916,0.00796602186254426
2019-W19,53033010402,h3n2,0.0142689758240048,0.0188723427281964,0.00119481942495452,0.00860560060045964,0.0618826878542034,0.00860584382615483
2019-W20,53033010402,h3n2,0.0143307497365849,0.0182493097766789,0.00128796144628206,0.00885079321735425,0.0607277323580875,0.00885103726034005
2019-W21,53033010402,h3n2,0.0139979619478766,0.017668486327966,0.00127884863382815,0.0086925496216231,0.0589935619329731,0.00869278773424152
2019-W22,53033010402,h3n2,0.0133920106994486,0.0172339128161141,0.0011803273676675,0.00821725573400788,0.0571178977153129,0.00821748335761604
2019-W23,53033010402,h3n2,0.0127286910859684,0.0171373886447969,0.00103071146235998,0.00758967838582607,0.0557970395340774,0.00758989443163375
2019-W24,53033010402,h3n2,0.0120247989434505,0.017330040755583,0.000855167380711755,0.00685506701450407,0.0548585234541059,0.00685527036603705
2019-W25,53033010402,h3n2,0.0112678518134822,0.0177401234233331,0.000674690091957883,0.00604129614269774,0.0539994034732547,0.0060414851385655
2019-W26,53033010402,h3n2,0.0105220479401449,0.0184418115449911,0.000509153088504188,0.00521437067125324,0.0533017295071221,0.00521454434193307
2019-W27,53033010402,h3n2,0.00988419429725094,0.0196506519753689,0.000370709603314898,0.00444149554259205,0.0531074366153006,0.0044416541579351
2019-W28,53033010402,h3n2,0.00939895046647523,0.0216241658004723,0.000261343486310809,0.00374664788139671,0.0535971389098829,0.0037467921952926
2019-W29,53033010402,h3n2,0.00908677858740364,0.0247447770797419,0.000178415438127005,0.00313232636030899,0.0548652812000085,0.00313245722744364
2019-W30,53033010402,h3n2,0.00900517715200719,0.0297957491916751,0.000118287972867497,0.00260525088252881,0.0572366662666917,0.00260536956447271
2019-W31,53033010402,h3n2,0.00921646290937151,0.0382118250750007,7.62814517221062e-05,0.00216098684547309,0.0610536735128991,0.00216109469241571
2019-W32,53033010402,h3n2,0.00980906038514721,0.0528403265500647,4.78952922309011e-05,0.00179032686941813,0.0667267030192304,0.00179042512733063
2019-W33,53033010402,h3n2,0.0109256155265124,0.0797624375054924,2.93037160120525e-05,0.00148271231630365,0.0747843735634819,0.0014828020326978
2019-W02,53033010500,h3n2,0.000222611682476029,0.00583295885561761,5.61693470620376e-08,8.48967256887145e-06,0.00127796553405432,8.49032036389537e-06
2019-W03,53033010500,h3n2,0.000386876171887039,0.00649908619995384,2.16507675747692e-07,2.29891838340074e-05,0.00243184517565911,2.29907947121324e-05
2019-W04,53033010500,h3n2,0.000701301377067691,0.00791820149405459,8.17692209655979e-07,6.1870853090306e-05,0.00466513785150854,6.18748333911814e-05
2019-W05,53033010500,h3n2,0.00131211096631452,0.0103794442507774,3.01208053821892e-06,0.000164560016963644,0.00896147069596232,0.000164569722977472
2019-W06,53033010500,h3n2,0.00249653969445084,0.0143511190447185,1.07116368252228e-05,0.000427875312194277,0.0170406566447838,0.000427898393629515
2019-W07,53033010500,h3n2,0.00469135185280809,0.0202420065391741,3.5806381502354e-05,0.00105920748532384,0.0312474921784622,0.00105925960944717
2019-W08,53033010500,h3n2,0.00847058220202318,0.0282451949824581,0.000109503427882802,0.00243321951076079,0.0539323142520698,0.00243332847797936
2019-W09,53033010500,h3n2,0.0142287764726036,0.0376677518935786,0.000296175456316384,0.0050280670850312,0.0851651337552976,0.00502827169213696
2019-W10,53033010500,h3n2,0.0211247642954737,0.0455631799720481,0.000670723243536528,0.00888564381881808,0.117470873104334,0.00888597280027769
2019-W11,53033010500,h3n2,0.0268381556165974,0.0484315654694219,0.0012247401928566,0.01300846698422,0.13790543143767,0.0130089072456822
2019-W12,53033010500,h3n2,0.0294418679968958,0.0457815044199429,0.00180638315068186,0.0159250854877529,0.140149619344891,0.0159255824498311
2019-W13,53033010500,h3n2,0.0290672509268026,0.0403283624354075,0.0022233531826973,0.0169960020935921,0.129709926361619,0.0169964981766393
2019-W14,53033010500,h3n2,0.0278100961478616,0.035898377908245,0.00243710027823032,0.0170314117197751,0.118835833973151,0.0170318868483262
2019-W15,53033010500,h3n2,0.0253513269533587,0.0319476040177074,0.00232297189330476,0.0157583587716642,0.106735265864012,0.0157587916907524
2019-W16,53033010500,h3n2,0.0225240513426494,0.0291439754030615,0.00196515547573196,0.0137736941134184,0.0963878800832561,0.0137740790843053
2019-W17,53033010500,h3n2,0.0203535817796095,0.0283524681093098,0.00154497608858854,0.0118695633223204,0.0910403833926964,0.0118699106843961
2019-W18,53033010500,h3n2,0.0186017246051071,0.0290579023876197,0.00113110273934061,0.0100291134261361,0.0887685779324801,0.0100294273157842
2019-W19,53033010500,h3n2,0.0170615244809787,0.0309141539096405,0.000772249407335603,0.00824405084353439,0.087840555200417,0.00824433044273788
2019-W20,53033010500,h3n2,0.0153720295144411,0.0332445528346472,0.000485387728370333,0.00645159576305757,0.0855736718082433,0.00645183467173108
2019-W21,53033010500,h3n2,0.0136516909514469,0.0361649905192428,0.000283758365372251,0.00482122723421828,0.0817288239620928,0.00482142278129456
2019-W22,53033010500,h3n2,0.0120532011067918,0.0401216716618443,0.000156376071634112,0.00346786958520382,0.0767132942373521,0.00346802365298944
2019-W23,53033010500,h3n2,0.0107487611612986,0.0461711832261425,8.2787398103318e-05,0.00243716506712282,0.0715520065618524,0.0024372834122499
2019-W24,53033010500,h3n2,0.00970156267810265,0.0553494762473481,4.22536669644625e-05,0.00167493900654196,0.0661980899705204,0.00167502765245854
2019-W25,53033010500,h3n2,0.00885664605731717,0.0692747120215101,2.07795929139405e-05,0.00112316416300478,0.0605135364821235,0.00112322877289328
2019-W26,53033010500,h3n2,0.00822512377832484,0.0913461963783009,9.89231547179702e-06,0.000737633997586999,0.0548117946871382,0.000737679994107321
2019-W27,53033010500,h3n2,0.00785003237305562,0.12865947316798,4.59496692668202e-06,0.000478073037851389,0.0495540548582871,0.000478105268088276
2019-W28,53033010500,h3n2,0.00775080789082035,0.195622746244936,2.08957674019558e-06,0.000306855544600276,0.0448808948645042,0.00030687785989238
2019-W29,53033010500,h3n2,0.00795261114661766,0.323895097788191,9.30572521646833e-07,0.000195201995032093,0.0407703645836484,0.000195217281211119
2019-W30,53033010500,h3n2,0.00854799883316105,0.591412545097214,4.07123314022535e-07,0.000123535852773939,0.0373126578856483,0.000123546255381599
2019-W31,53033010500,h3n2,0.00969462717452699,1.20538645918281,1.75283191073406e-07,7.79689830649662e-05,0.0345115521934993,7.79760352538823e-05
2019-W32,53033010500,h3n2,0.0116779956541815,2.7746254121063,7.4330290594611e-08,4.91505534441691e-05,0.0323304494370729,4.91553243017568e-05
2019-W33,53033010500,h3n2,0.015031784866324,7.29526070751701,3.10561991586894e-08,3.09727212873125e-05,0.0307174748185064,3.09759451404278e-05
2019-W02,53033010600,h3n2,0.000167220735487107,0.00162923959644809,2.57530299822634e-07,1.7073389502094e-05,0.00112806870325258,1.70744974737939e-05
2019-W03,53033010600,h3n2,0.000313430409128377,0.00219764100866028,9.09497028483936e-07,4.42540349854559e-05,0.00214654210601203,4.42566480850179e-05
2019-W04,53033010600,h3n2,0.000607688854435666,0.00318175384489717,3.14070946173648e-06,0.000114002913142094,0.0041261337458489,0.000114009049401294
2019-W05,53033010600,h3n2,0.00120596740089323,0.00486362447799445,1.0559494306146e-05,0.000290238282165577,0.00795616879522341,0.000290252528990952
2019-W06,53033010600,h3n2,0.00241364703034805,0.00769526100232049,3.42225446167181e-05,0.000722350745736366,0.0152095028239574,0.000722383054552984
2019-W07,53033010600,h3n2,0.00473136521534099,0.0121927583253167,0.000104114872702943,0.00171164011653232,0.0280757499874151,0.00171170980952327
2019-W08,53033010600,h3n2,0.0088376866791235,0.0187762825984501,0.000289413389061654,0.00376368452601733,0.0488438149777589,0.003763823958936
2019-W09,53033010600,h3n2,0.0152304663751317,0.0271837867124761,0.000710587738016847,0.00744446479700161,0.0778443347741884,0.0074447159772245
2019-W10,53033010600,h3n2,0.0230058903601094,0.0351742058463924,0.00145896181595746,0.0125927851343143,0.108503906239141,0.0125931738811591
2019-W11,53033010600,h3n2,0.0294902258836873,0.0394858992961883,0.00241298558808211,0.0176465356116875,0.128845098545854,0.017647038400068
2019-W12,53033010600,h3n2,0.0323698115058786,0.0389847227922408,0.00322322271117595,0.0206783333360854,0.132461677529027,0.0206788843285325
2019-W13,53033010600,h3n2,0.0317099451620725,0.0355003041839875,0.0035995404061237,0.0211242326251095,0.123792824447707,0.0211247690192178
2019-W14,53033010600,h3n2,0.0298524701199463,0.0322993729617747,0.00359787085688421,0.0202621356127362,0.113951469086095,0.0202626381280253
2019-W15,53033010600,h3n2,0.0265549978233076,0.0289654104219107,0.00315550860771623,0.0179451040951802,0.101909397642695,0.0179455517595308
2019-W16,53033010600,h3n2,0.0228331362711397,0.0261627596205686,0.00248719457747462,0.0150136371433454,0.0904967145773221,0.0150140247429902
2019-W17,53033010600,h3n2,0.0198050141214556,0.0247163046598592,0.00184767363766913,0.0123842802840925,0.0828801226896253,0.0123846185912895
2019-W18,53033010600,h3n2,0.0172341398437394,0.0241315351712974,0.00129534249531886,0.0100161123960998,0.0773210759668886,0.0100164062932224
2019-W19,53033010600,h3n2,0.0149311135238079,0.0240268215627663,0.000856374429241757,0.00788093931153949,0.0723961628555808,0.0078811898794112
2019-W20,53033010600,h3n2,0.0126074251840092,0.0237903629827623,0.000525710784113135,0.00590344063103626,0.0661633003122918,0.0059036450491202
2019-W21,53033010600,h3n2,0.0104117779328012,0.023465447751337,0.000302054673046396,0.00422276024363393,0.0589093495476921,0.00422291980471214
2019-W22,53033010600,h3n2,0.00848272471591671,0.0232505182184399,0.000164332429886615,0.00290738388926621,0.05131873118221,0.00290750373652805
2019-W23,53033010600,h3n2,0.00692714882432367,0.0235366553463902,8.61558925185948e-05,0.00195580425727489,0.0442866510831973,0.0019558920289044
2019-W24,53033010600,h3n2,0.00568168091532011,0.0244389760804929,4.36393062747027e-05,0.0012865903013416,0.0378284102626041,0.00128665301043878
2019-W25,53033010600,h3n2,0.00467755899656238,0.026078166415779,2.13281380606507e-05,0.000825819928425149,0.0318814072976912,0.000825863550356642
2019-W26,53033010600,h3n2,0.003887572749189,0.0288513376373439,1.00991567620956e-05,0.000519139289416221,0.026601297177895,0.000519168949449749
2019-W27,53033010600,h3n2,0.00329502365662498,0.033550154090938,4.66784536391849e-06,0.000322060959196917,0.0221450312946748,0.000322080823406552
2019-W28,53033010600,h3n2,0.00286710523332451,0.0414449749078953,2.11228993792037e-06,0.000197869414066579,0.0184676947942197,0.000197882569683369
2019-W29,53033010600,h3n2,0.00257258263789372,0.0548696311570008,9.35798609115739e-07,0.000120484120147126,0.0154516154501294,0.000120492747407972
2019-W30,53033010600,h3n2,0.0023995878589088,0.0788556621294249,4.07054299436532e-07,7.29859802611804e-05,0.0130318514492258,7.29916055773319e-05
2019-W31,53033010600,h3n2,0.0023434920134803,0.124531981971124,1.7410818860427e-07,4.40929514659736e-05,0.0111167127549759,4.40966083681483e-05
2019-W32,53033010600,h3n2,0.0024121675353363,0.218681441541675,7.32787207642118e-08,2.66058163510158e-05,0.00961401108824453,2.66081904385366e-05
2019-W33,53033010600,h3n2,0.00263270981154247,0.431886366414905,3.03542070894034e-08,1.60482773154613e-05,0.0084417697398092,1.60498178383295e-05
2019-W02,53033010701,h3n2,0.00115350636689822,0.0102774836789638,2.1065330257457e-06,0.000128657433161881,0.00783163197647886,0.000128665813769691
2019-W03,53033010701,h3n2,0.00177598142552809,0.0109915450848696,6.58375748675667e-06,0.00028328379876488,0.0121519433285369,0.000283300355776435
2019-W04,53033010701,h3n2,0.00285141668187108,0.0128017256457611,2.0079991633976e-05,0.000619924099003755,0.0190856925964271,0.00061995656492806
2019-W05,53033010701,h3n2,0.00472405802111115,0.0159611818211076,5.94378229357669e-05,0.00134069797274439,0.0301651148552441,0.00134076074219674
2019-W06,53033010701,h3n2,0.00795744858999458,0.0208739911469882,0.000168794497644145,0.0028345103597109,0.0474906853567569,0.00283462866743642
2019-W07,53033010701,h3n2,0.0132350456688749,0.0277018979788824,0.000446876328109367,0.00570553035756524,0.072696292257583,0.005705742443416
2019-W08,53033010701,h3n2,0.0211459796541184,0.0362387079343042,0.00107028687126869,0.0106573783273615,0.105924359797505,0.010657731852398
2019-W09,53033010701,h3n2,0.0314233602476226,0.0453121621445321,0.00223235357406902,0.0179070564554711,0.143402513521279,0.0179075905769771
2019-W10,53033010701,h3n2,0.0412590238325316,0.0517142454165139,0.00381853478749788,0.0257315521977909,0.173128133078396,0.0257322539720048
2019-W11,53033010701,h3n2,0.0463437728824842,0.0526184765646263,0.00513109170918746,0.0306307047482297,0.182590831055383,0.0306314882272685
2019-W12,53033010701,h3n2,0.0449372159589382,0.0486506353953912,0.00541007912277893,0.03049061915735,0.171602538324421,0.030491375035461
2019-W13,53033010701,h3n2,0.0392093750415034,0.0428780894457755,0.0046383951816967,0.0264596862597888,0.150727398655675,0.0264603473361332
2019-W14,53033010701,h3n2,0.0331561040543411,0.038738267590446,0.00348780821586014,0.0215596612635046,0.133074151304899,0.0215602251710897
